@relation w1

@attribute FARE numeric
@attribute SUCCESS {0,1}
@attribute SEATCLASS {1,2,3}
@attribute GUESTS {0,1,2,3,4,5,6,7,8}
@attribute AGE numeric
@attribute Male {0,1}
@attribute MARRIED {0,1}

@data
19.2583,1,3,0,24,0,1
7.2292,0,3,0,25,1,1
14.1083,0,3,2,41,1,1
11.5,0,2,1,21,1,1
25.9292,1,1,0,48,0,1
69.55,0,3,8,18,0,0
13,0,2,0,24,1,1
13,1,2,0,42,0,1
13.8583,1,2,1,27,0,0
50.4958,0,1,0,31,1,1
9.5,0,3,0,25,1,1
11.1333,1,3,1,4,1,0
7.8958,0,3,0,26,1,1
52.5542,1,1,1,47,0,1
5,0,1,0,33,1,1
9,0,3,0,47,1,1
24,1,2,1,28,0,1
7.225,1,3,0,15,0,0
9.8458,0,3,0,20,1,1
7.8958,0,3,0,19,1,1
7.8958,0,3,0,25,1,1
83.1583,1,1,0,56,0,1
26,1,2,0,25,0,1
7.8958,0,3,0,33,1,1
10.5167,0,3,0,22,0,0
10.5,0,2,0,28,1,1
7.05,0,3,0,25,1,1
29.125,0,3,0,39,0,1
13,0,2,0,27,1,0
30,1,1,0,19,0,0
23.45,0,3,1,18,0,0
30,1,1,0,26,1,1
7.75,0,3,0,32,1,1
